Bee_Scientific_Name,Bee_Common_Name,Bee_Abstract
Bombus griseocollis,brown-belted bumble bee,"The brown-belted bumblebee has pale yellow hairs on its head, face, and thorax, and its abdomen is yellow with black bands. These bees build their nests either underground or on the surface in small groups of about 50 workers. The colony cooperates to raise the young, share daily tasks, and protect the nest. You can find these bees throughout North America in meadows, wetlands, urban areas, farms, and cities. Queens appear in May and workers are active from June to September. "
Bombus melanopygus,black-tailed bumble bee,"Black-tailed bumble bees have long, fluffy, yellow and black hairs on their body and face. These bees come in two forms, red-butted, where there are distinct orange-red bands on the abdomen, and dark-colored, where the abdomen has black bands instead. Red-butted bees are found more commonly in the Willamette Valley, while dark-colored bees are found in southern Oregon to California. These bees can be found in agricultural areas, urban sites, and meadows. It commonly nests underground in abandoned rodent burrows, but it also can nest above ground in insulation or birdhouses. This bee can be found from February through August. "
Bombus mixtus,the fuzzy-horned bumble bee,"The fuzzy horned bumble bee is native to western North America. It has long, mixed yellow and black hair on its face, sides, and top of its head. Its face is yellow, there’s a black band near its wings, and it has orange hair on its abdomen. This bee lives in meadows, grassy areas, shrublands, and chaparral. It builds its nests on the surface or underground and can be seen from March to September."
Bombus morrisoni ,Morrison’s bumble bee,"Morrison’s bumble bee is a larger bee covered in short, bright yellow hair. They have big eyes and their faces are either black or a mix of black and yellow hair. Their thorax is completely yellow, and their abdomen is mostly yellow with one black stripe at the base. Queens appear in May, and workers and males are active until September. These bees nest in the ground and are found in dry, open areas across the western United States."
Bombus occidentalis,western bumble bee ,"Western bumble bees are medium to large bees with short, thick hair. They have greyish hair on their faces and a black stripe or spot on their thorax, surrounded by yellow hair. There is a white stripe of hair on the back of their abdomen, and while some have black hairs on the rest of their abdomen, others have yellow or orange stripes. These bees are found all over western North America, mostly in mountainous regions. They nest in the ground and are active throughout the summer, with queens starting to appear in March and workers seen until August."
Bombus rufocinctus,red-belted bumble bee,"Red-belted bumble bees are smaller bumble bees with short, even hair, a round head, and a short tongue. They have heads with a mix of yellow and black hairs, and their thorax has yellow hairs with a black stripe. Their abdomens have variable patterns but are mostly red. They feature bands of yellow, orange, and black hair. These bees are active from April to October, with males and workers appearing from June to September. They nest at the ground surface or sometimes in above-ground cavities. You can find them throughout southern Canada and the northern United States, down to central California."
Bombus sitkensis,Sitka bumble bee,"Sitka bumble bees are large and fluffy with a medium-length tongue and an oval-shaped head. They have black and yellow hairs intermixed on their faces. Their upper bodies are yellow with a black patch in the middle, and their abdomens have stripes of black, yellow, and brown-red. These bees nest in the ground, often using abandoned rodent holes in mountain meadows and grassy prairies. Queens can be found from late January to early December. Workers appear in early March, males show up in early April, and both disappear by the end of September. Sitka bumble bees are common in western North America, from Alaska to California."
Bombus vancouverensis,Vancouver bumble bee,"Vancouver bumble bees are medium-sized bumble bees with moderately long even hair. These bees can have either red or black tails. They have yellow or white facial hair and their hind legs and pollen baskets can be brownish-orange or black. They build their nests underground, sometimes in old rodent burrows, or on the surface. You can find these nests in grassy fields, prairies, shrubs, parks, and mountainous areas. Vancouver bumblebees live in social groups and use pheromones to recognize each other. They pollinate flowers using buzz pollination, where they hang upside down and shake pollen onto their pollen sacs. Queens emerge in late March through June, workers appear from May to August, and males fly from August to September. "
Bombus vosnesenskii,yellow faced-bumble bee,"The yellow-faced bumble bee is native to the west coast of North America and is the most common bumble bee in Oregon. These bees have short, even hairs, a square face, and a pollen basket on their hind legs. They have yellow faces, black thoraxes, and one yellow stripe on their abdomen. Their nests are usually underground, and a colony can have 200-300 workers. Queens appear in the spring to start new nests in old rodent burrows or holes in wood or dirt. These bumble bees prefer areas with a variety of flowers, which helps them get a range of nutrients from different types of nectar."
Calliopsis edwardsii,Edward’s calliopsis,"Edward’s calliopsis is a solitary bee that usually nests in sandy soils in flat or desert areas. These bees appear black, shiny, and sparsely punctured. They have short, pale hairs on their body and legs, white triangles on each side of their face, and noticeable pollen baskets on their hind legs. Their abdomens are dark brown-black with bright yellow-white bands. Female bees have a unique heart-shaped mark on their faces. You can find these bees throughout the western United States."
Ceratina acantha,small carpenter bee,The small carpenter bee has a distinctive dark color with a metallic green-blue shine covering its entire body. It has few hairs and a shiny appearance. These small bees build their nests in cavities and are often found in woody shrubs and trees. They are commonly seen across the western United States.
Ceratina micheneri,small carpenter bee,"This small carpenter bee is shiny green to black with a few short, light-colored hairs. They usually build their nests in old wood and dead plant stems. The female bees make tunnels in these materials to lay their eggs. These bees are solitary and carry pollen on their abdomen."
Ceratina nanula,tiny small carpenter,"Tiny small carpenter bees are small bees with a shiny, metallic blue color. Females have a small, almond-shaped ivory mark on their blue faces, while males have a larger, upside-down T-shaped ivory mark. They have a metallic blue upper body and abdomen with some black-brown accents. These bees build their nests in twigs and can be found from April to August across the western United States."
Ceratina sequoiae,clarkia carpenter bee,"The clarkia carpenter bee is a species of small carpenter bee. It is found in North America, primarily in California and Oregon. It is known to primarily visit farewell-to-spring flowers, though it also goes to other plants for nectar. This bee is very small and has a blue-colored tint to its dark body."
Colletes kincaidii,Kincaid’s cellophane bee,"Kincaid’s cellophane bees are medium-sized bees. They have amber to white colored hairs densely arranged on their faces and thoraxes, giving them a fluffy appearance. Their abdomen is dark-colored with pale bands of hair and ends in a point. Colletes means “one who glues”, referring to the bees’ habit of applying a glue-like lining to the walls of their underground nests using their specialized tongues. These bees are in flight from June to early September."
Diadasia nigrifrons,black-fronted turret bee,"Black-fronted turret bees are large, hairy, and fast-flying. They have black heads and abdomens covered in long black hairs. Their upper bodies have long blonde hairs with a central bald spot that shows their shiny exoskeleton. These bees are solitary and build elaborate turrets or chimneys over their nests, which are usually in hard-packed dry soil. They are specialized bees that feed on flowers from the Sidalcea genus. You can see them in midsummer."
Dianthidium pudicum ,modest pebble bee,"Modest pebble bees are small bees that are yellow and black. They have yellow accents on their black, textured faces and thoraxes. Their legs are brown with yellow spots, and their abdomens are black with yellow stripes on each segment. These bees are common in the western and midwestern United States. They build their nests in tree forks using resin, pebbles, and sand. You can find them from June through August."
Dianthidium ulkei ,Ulke’s pebble bee,"Ulke’s pebble bee is a small bee with black and yellow coloring that nests in twigs. They have bright yellow highlights on their black, textured faces and thoraxes. Their legs are yellow with black spots, and their abdomens are black with yellow stripes on each segment. These bees are found from June to August across the western United States, from the Pacific Coast to Nebraska, and up to British Columbia."
Eucera acerba,long horn,"Longhorn bees are medium-sized bees with black bodies and light-colored hairs, which can be white to yellowish in color. Their hairs cover their face, chest, and part of their abdomen. You can easily tell males from females because males have very long antennae and a yellow mark on their faces. Females have special hairs on their legs called scopa where they collect pollen. These bees are solitary and build their nests in the ground, usually in well-drained, sunny spots. "
Eucera edwardsii,Edwards's long-horned bee,Edwards's long-horned bees are gray and fuzzy bees that nest in the ground. They have long pale hairs on their face and thorax. Male bees are notable for their extra-long antennae and a shiny yellow area on their face called the clypeus. Females have pale hairs on their hind legs used for gathering pollen. Their abdomens are brown-black with bands of white hair. These bees are active from May to June across the western United States.
Eucera frater,monk longhorn,"Monk longhorns are large, fast-flying bees. Females have light-colored hair on their faces, while males have yellow faces and very long antennae, which makes them easy to tell apart. Their upper bodies are covered with long blonde hair, and their dark abdomens have sparse pale hairs arranged in bands. These bees nest in the ground. They can be found throughout the western United States from April to August."
Eucera virgata,striped spring longhorn bee,"Striped spring longhorn bees are medium-sized bees with pale hairs arranged densely along their face and thorax. They have hairs on their abdomen positioned in stripes, giving this bee its name. Females have long hairs on their hind legs for pollen collection and males have very long antennae. These bees are some of the first to emerge in the spring and can be found from March to June in California and Oregon. "
Habropoda depressa,California mountain-digger bee,"California mountain-digger bees have grey and brown hairs on their bodies. They are solitary bees that build their nests in the ground, especially in hard-packed soils like clay. These bees are active from February to early June and are found along the west coast of the United States."
Halictus confusus,confusing furrow bee,"Confusing furrow bees, or southern bronze furrow bees, are small bees that nest in the ground. They have a shiny greenish-gold head and thorax, and black legs that can look reddish from far away. Their abdomen is dark brown with green and bronze highlights and light bands. These bees can be solitary or live in groups ranging from a few to hundreds of bees. Queens start new nests every spring, usually choosing sandy, flat ground. These bees are present across the US and Canada from March through October. "
Halictus farinosus,wide-striped sweat bee,"Wide-striped sweat bees have striking pale and black stripes on their abdomen, brownish-orange wings, and bright yellow legs. They build their nests in the ground and live in small, unstructured groups in areas with sparse grass, brush, or open woodland. They gather nectar and pollen from various flowers. You can find them in western North America from April to October. "
Halictus ligatus,ligated furrow bee,"Ligated furrow bees are among the most common bees in North America and have a wide range, leading to different behaviors and colony setups in various regions. They have a matte black body and pale hair bands on their abdomen with black or dark brown stripes. These bees build their nests in wood or the ground, preferring level, well-drained, and hard-packed soil. They often use the same nest site each year unless it gets overcrowded or damaged. They have a system for dividing tasks and organizing the colony. These bees are found from March through October in the western United States, though they are found throughout North America."
Halictus rubicundus,orange-legged furrow bee,"Orange-legged furrow bees are medium-sized bees with a matte-black color. Females have light red legs, while males have orange to yellow legs with a dark spot. They have white to yellow hairs on their face and thorax, and thick white bands on their abdomen. Males have long, black antennae. These bees nest in the ground, often in loose soil. In warmer areas, they are somewhat social, while in cooler areas, they are solitary. You can find them across North America from March to November."
Halictus tripartitus,tripartite sweat bee,"Tripartite sweat bees are small bees with a shiny, metallic brown-black color. They nest in the soil, usually in packed earth. They have a few white hairs and white bands on their abdomen. These bees are somewhat social, with nests that are connected underground, and some of the worker bees can reproduce. You can find them across the western United States, from Arkansas to the West Coast, from March through October."
Heriades carinatus,carinate armored-resin bee,"Carinate armored-resin bees are small black bees with few white hairs and coarsely-sculpted exoskeletons. Their abdomens curl downward and have white bands of hair breaking up the black shiny color of the body. White hairs located on the underside of the female bees’ abdomen are called scopa, which are used for pollen collection. They are called resin bees because they use resin to build their nests. This resin can be tacky or hard and smells like pine. "
Hoplitis albifrons,white-fronted small-mason,"White-fronted small-mason bees are medium-sized and jet-black. They have long faces covered in white hairs, and the males have silver hairs on their faces. Their thorax has a mix of long white and black hairs, and their abdomens have bands of thick white hair. These bees are solitary and build their nests in twigs, using crushed leaves to separate the nest cells. You can find them across North America from May to August, and they seem to especially like phacelia plants."
Hoplitis fulgida,green small-mason,"Green small-mason bees are strikingly colorful. Their bodies are a brilliant blue-green and covered in fine, dense dots. Female bees have dark, short, sparse hair on their face and thorax, while males have lighter hair. Their legs are also a vivid green. These bees have hairs on the underside of their abdomen called scopa, which they use to collect pollen. These bees are solitary and build their nests in existing holes in wood or plant stems. They use plant material and pebbles to separate their nest chambers. You can find them from April to May in lower elevations and from June to August in mountainous areas. They are mainly found in higher elevations within the western United States."
Hoplitis producta ,produced small-mason,"Produced small-mason bees are small and entirely black. They have a shiny thorax, thick white bands on their abdomen, and white hairs on their head. These bees live alone and build their nests in hollow stems, like those from roses and elders. You can find them from mid-April to July throughout the US and southern Canada."
Hylaeus basalis,cinquefoil masked bee,"Cinquefoil masked bees are small and all-black. Females have round, all-black faces, while males have yellow faces and large, orange protrusions on their antennae. Their abdomen is covered in coarse dots. These bees build their nests in twigs and other existing holes. You can find them from May to August across the United States, especially in mountainous areas and western states."
Hylaeus mesillae,mesilla masked bee,"Mesilla masked bees are very small, matte-black bees. Males have yellow faces, while females have black faces with yellow highlights. Their thorax and abdomen are fully matte-black. These bees usually nest in twigs but can also be found in small holes, like nail holes. They are found from June to October across the United States and Canada."
Lasioglossum argemonis,wild rose sweat bee,"Wild rose sweat bees are tiny black bees with small indentations on their head and chest. They have a shiny metallic abdomen and pale hairs. These hairs appear along their legs, uniformly on their thorax, and sparsely on their face. Their abdomen has striped bands of hair. Males have longer antennae than females. Females have special hairs on their hind legs called scopa, which they use to collect and carry pollen. These bees are solitary and found all over North America. They nest in the ground, often in open, sandy areas or disturbed soil. Sometimes, multiple females may share a nest, which is known as communal nesting."
Lasioglossum cordleyi,Cordley’s sweat bee,Cordley’s sweat bee is a small dark black bee with pale yellow hairs sparsely decorating its body. It nests in the ground and collects pollen from many different flowers. It can be found in prairie and montane habitats. These bees can be found throughout western Canada and the west coast of the United States from March to July.
Lasioglossum cressonii,Cresson's sweat bee,"Cresson’s sweat bees are small green bees. They have green heads and thoraxes with light gold or blue reflections. The abdomen is brown with sparse pale hairs. They usually build their nests in soil or wood in low-elevation areas. They can be found from March to November across North America, from the Pacific Northwest to the Northeast."
Lasioglossum inconditum,misbehaved sweat bee,The misbehaved sweat bee is a small dark black bee with pale yellow hairs sparsely arranged on its body. It nests in the ground and collects pollen from many different flowers. This bee is found throughout Canada and the western United States from April to August. 
Lasioglossum kincaidii,Kincaid’s sweat bee ,"Kincaid’s sweat bees are small, shiny, black bees with short, thin white hairs on their face and legs. They have a large thorax and look mostly all-black, but their abdomen has faint, pale hair bands. Female Kincaid’s sweat bees have special hairs on their hind legs called scopa, which they use to collect and carry pollen. These bees are solitary and make their nests in flat, sandy soil."
Lasioglossum mellipes,honey sweat bee,"Honey sweat bees are named for their orange legs covered with yellow hairs. They have brown-black bodies with yellow hairs on their face and body, and their abdomen has yellow stripes. These bees are solitary and build their nests in the ground. After mating, females stay in their nests through the winter and come out in the spring to start new colonies. You can find them from February to December, from southern British Columbia to southern California."
Lasioglossum olympiae,Olympia sweat bee,"Olympia sweat bees are medium-sized, shiny black bees with faint white stripes on their abdomen. They have short white hairs along their body. Female Olympia sweat bees have brown hairs on their hind legs, called scopa, which they use to collect and carry pollen. These bees are solitary and make their nests in the ground. They can be found along the west coast of the United States from March to September."
Lasioglossum ovaliceps,oval-headed sweat bee,"Oval-headed sweat bees are small, solitary bees. They have a black head and chest, with an amber-colored abdomen that can be either all amber or striped with amber and red. These bees are known for their long faces. They build their nests in the ground and are found from April to August across the western United States."
Lasioglossum pacificum,the Pacific sweat bee,"The Pacific sweat bee has thick dark bands on its abdomen with pale-striped hairs in between. It looks mostly brown, with some ochre-colored hairs on its thorax, face, and legs. These bees are solitary and they build their nests in the soil."
Lasioglossum ruidosense,Ruidoso sweat bee,"The Ruidoso sweat bee is a type of bee that nests in the ground and is found across North America, from Alaska to northern Mexico. These bees have a dull metallic look, with golden-green or blue-green heads. Their thoraxes can be golden-green, bluish-green, or brown, and their abdomens are brown with pale stripes. Females mate, hibernate in winter, and start new colonies in the spring."
Lasioglossum sisymbrii,tansy mustard sweat bee,"The tansy mustard sweat bee has a dark head, pale yellow hairs on its face and thorax, a black body, and distinct white bands on its dark abdomen. This bee is a ground-nester that often nests in aggregations. You can find it across the western and midwestern United States, as well as in parts of Canada and Mexico. It can be found from March to September."
Lasioglossum titusi,Titus’s sweat bee,"Titus’s sweat bee is mostly black with white bands on its abdomen and a few pale hairs on its head and thorax. This bee lives alone and builds its nest in the soil, usually on flat, bare ground. It can be found across the western half of the United States from March to August."
Megachile brevis,short leafcutter bee,"The short leafcutter bee is a solitary bee, meaning each female takes care of her own nest. These bees are mostly black with some rust to yellow-colored hairs on their head and thorax, and they have strong white bands of hair on their dark brown to black abdomen. They have special hairs on their belly, called scopa, that they use to collect pollen. Their face has thick white or ivory-colored hair, and they have prominent jaws for cutting and gathering leaves and petals, which they use to line their nests. Short leafcutter bees nest in various places like hollow grass stems, cornstalks, flower stems, holes in wood or the ground, or even under dry cow patties. They are found throughout North America from July to mid-October."
Megachile fidelis,horn-faced leafcutter bee,"Horn-faced leafcutter bees are black and have golden yellow hair on their faces, thorax, legs, and in stripes along their abdomen. They collect pollen under their abdomen and have large jaws for cutting leaves. They are solitary, cavity-nesters, and often build their nests in meadows and gardens across the western United States. Their nests are small burrows made in sand, gravel, soil, or rotting plants and wood. Inside these nests, they create a series of cells lined with leaf pieces they cut with their jaws."
Megachile montivaga,silver-tailed petalcutter,"Silver-tailed petalcutters are black leafcutter bees with pale hairs on their body. These pale hairs are more noticeable on their face and thorax, but are shorter around their antennae. Their pollen basket is located under their abdomen. They have serrated jaws for cutting leaves and flower petals, which they use to line their nests. They build their nests in wood cavities, hollow stems, underground, or in small holes. You can find these bees from June to September."
Megachile pugnata,pugnacious leafcutter bee,"Pugnacious leafcutter bees are medium-sized bees that are black and white with large jaws. They use these jaws to cut leaves and petals for their nests. Their face and thorax are covered in light hairs, and their abdomen has bright white stripes of light blonde hair. These bees nest in existing holes, including man-made nests and bee hotels. They are particularly attracted to sunflowers. You can find them throughout North America from early June to October."
Megachile relativa ,golden-tailed leafcutter bee,"Golden-tailed leafcutter bees are medium-sized and dark-colored. Females have five teeth on their jaws that they use to cut leaves and petals. Their head and thorax have light hairs mixed with a few black ones. Their abdomen has thin light yellow hair bands. They also have hairs on the underside of their abdomen called scopa, which they use to collect pollen. These bees build their nests in preexisting holes. You can find them from May to early fall, ranging from Canada to Mexico."
Melissodes lupinus,lupine long-horned bee,"Lupine long-horned bees are quite hairy. They have bluish-grey to grey eyes, pale white hairs on their heads, ochre-colored hairs on their thorax, and pale and ochre stripes on their abdomens. You can tell males and females apart by their antennae length and hind legs. Males have long antennae, which is why they are called long-horned bees. Females have dense, yellow to white branched hairs on their hind legs for collecting pollen. These bees live alone and build their nests in the soil. They are native to the western United States and can be seen from mid-June to mid-September."
Melissodes microstictus,small long-horned bee,"The small long-horned bee is a medium-sized bee with distinct pale striping on its abdomen. Females have large, long-haired hind legs and males have very long antennae. Their faces and thoraxes are filled with white hairs, giving this bee a fluffy appearance. This bee is found throughout western Canada and the United States from July to September. "
Osmia atrocyanea,large indigo mason bee,Large indigo mason bees are a brilliant deep indigo blue color. These bees have short white hairs on their face and thorax. Females have white hairs along the underside of their abdomen for pollen collection. Mason bees use mud to construct their nests. These bees can be found across the western United States from April to July. 
Osmia californica ,California mason bee,"California mason bees are dark metallic blue bees. Their thorax is dark blue and has coarse dots, and their abdomens are dark metallic blue with a shiny appearance. Females have black hairs on their heads and thoraxes, while males have white hairs. These bees build their nests in existing holes in wood. They seem to prefer flowers from the Asteraceae family. You can find them across the western United States from May to June."
Osmia cyanella,cyan mason bee,"The cyan mason bee is a medium-sized metallic bee. They are a dark blue color and have short, sparse black hairs on their body. These bees nest in the ground using mud, giving them the name “mason bee”. This bee can be found along the west coast of the United States and Canada from April to July. "
Osmia densa,dense-haired mason bee,"Dense-haired mason bees are shiny and metallic, with a blue color with hints of purple and green. They have long, pale hairs all over their body. Males have longer antennae than females and more noticeable hairs on their face and thorax. Female bees carry pollen on the underside of their abdomen using a special group of hairs called scopa. These bees build their nests in wood or beetle burrows, often in wet meadows, montane chaparral, and mixed evergreen forests. They are located in western North America, from southern British Columbia to Baja California and east to the Rocky Mountains."
Osmia exigua,short mason bee,"The short mason bee is a small metallic green and blue bee. Females are primarily green in color with hints of blue, while males are primarily blue with hints of green. These bees have sparse white hairs along their face and thorax and females have dense black hairs on the underside of their abdomen for pollen collection. This bee can be found throughout the western United States from May to July."
